DESABILITADA-CEB - CENTRAIS ELÉTRICAS DE BRASÍLIA;Migração;false;59
PRESI - PRESIDÊNCIA;PRESI;true;100
SECEX - SECRETARIA EXECUTIVA;SECEX;true;110
TERRACAP;Migração;false;111
PROJU - PROCURADORIA JURÍDICA;PROJU;true;120
DESABILITADA - ASPRE - ASSESSORIA DA PRESIDÊNCIA;Migração;false;130
DESABILITADA - SEPRE - SECRETARIA PRESIDÊNCIA;Migração;false;140
DESABILITADA - ASGAN - ASSESSORIA GABINETE;Migração;false;150
AUDIN - AUDITORIA INTERNA;AUDIN;true;160
COPES - COORDENADORIA DE PROJETOS ESPECIAIS;Migração;false;170
CCHAB-COORDENADORIA DE COOPERATIVAS HABITACIONAIS;Migração;false;180
DITEC - DIRETORIA TÉCNICA;Migração;false;200
DESABILITADA -ASTEC - ASSESSORIA DIRETORIA TÉCNICA;Migração;false;210
GEPLA - GERÊNCIA DE PLANEJAMENTO E PROJETOS;Migração;false;220
NUPLA - NÚCLEO DE PLANEJAMENTO;Migração;false;221
NUGET-NÚCLEO DE GESTÃO DE PLANEJAMENTO E PROJETOS;Migração;false;222
EQUIPE DE MONITORAMENTO;Migração;true;223
NUCEM-NÚCLEO DE CONSTRUÇÃO E URBANIZAÇÃO DE EMPR.;Migração;false;224
GEREF - GERÊNCIA DE REGULARIZAÇÃO FUNDIÁRIA;Migração;false;230
NUREF - NÚCLEO DE REGULARIZAÇÃO;Migração;false;231
NUMOS - NÚCLEO DE MOBILIZAÇÃO SOCIAL;Migração;false;232
ARQUIVO SECEX;NOVO;true;233
NUCER-NÚCLEO DE CONSTRUÇÃO E URBANIZAÇÃO DE REGUL.;Migração;false;234
GEPRO - GERÊNCIA DE PROJETOS;Migração;true;240
GECON - GERÊNCIA DE OBRAS E CONTRATOS;GECON;true;250
GECAR - GERÊNCIA DE CADASTRAMENTO EM REGULARIZAÇÃO;Migração;true;260
DIMOB - DIRETORIA IMOBILIÁRIA;DIMOB;true;300
CPL - COMISSÃO PERMANENTE DE LICITAÇÃO;Migração;true;301
COMISSÃO DE PTTS;COMISSÃO DE PTTS;false;303
DIREG - DIRETORIA DE REGULARIZAÇÃO DE INTERESSE SOCIAL;DIREG;true;304
DIPRO - DIRETORIA DE PRODUÇÃO HABITACIONAL;DIPRO;true;305
DESABILITADA - ASDIM - ASSESSORIA DIMOB;Migração;false;310
GEALI - GERÊNCIA DE ALIENAÇÃO DE IMÓVEIS;Migração;false;320
NUHAB - NÚCLEO DE HABITAÇÃO E DISTRIBUIÇÃO;Migração;false;321
NUCAD - NÚCLEO DE CADASTRO DA DEMANDA HABITACIONAL;Migração;false;322
NUCAL - NÚCLEO DE CÁLCULOS E CONTRATOS;Migração;false;323
NUATE - NÚCLEO DE ATENDIMENTO AO PÚBLICO;NUATE;true;324
NUATE/SEDE;NULL;false;325
NUATE/114 Sul;NULL;false;326
NUATE/Embaixador ;NULL;false;327
GEMAN - GERÊNCIA DE MANUTENÇÃO DE CONTRATOS;Migração;false;330
NUSEG - NÚCLEO DE SEGUROS E GARANTIAS;Migração;false;331
NUDEP - NÚCLEO DE DEPURAÇÃO DE CONTRATOS;Migração;false;332
NUCOB - NÚCLEO DE DE COBRANÇA E RENEGOCIAÇÃO;Migração;false;333
NUREG - NÚCLEO DE REGISTRO CARTORÁRIO;Migração;false;334
GEPRI - GERÊNCIA DE PRODUÇÃO DE IMÓVEIS;Migração;false;340
NUGES - NÚCLEO DE GESTÃO;Migração;false;341
NUCLE - NÚCLEO DE CONTROLE;Migração;false;342
NUCON - NÚCLEO DE CONTRATOS;Migração;false;343
GCOOP - GERÊNCIA DE ASSOCIAÇÕES E COOPERATIVAS HAB;GCOOP;true;350
GECAD - GERÊNCIA DE CADASTRO E HABILITAÇÃO;GECAD;true;360
GERAT - GERÊNCIA DE ATENDIMENTO E MOBILIZAÇÃO SOCI;Migração;false;370
SEDHAB;Migração;false;390
DESABILITADA- DIRETORIA ADMINISTRATIVA ;Migração;false;400
DIAFI - DIRETORIA ADMINISTRATIVA/FINANCEIRA;Migração;false;401
DIRAD - DIRETORIA ADMINISTRATIVA;DIRAD;true;402
ARQUIVO-DIRAD;ARQUIVO-DIRAD;false;410
PROTOCOLO-NÚCLEO DE PROTOCOLO E EXPEDIENTE;Migração;false;412
GESERV - GERÊNCIA DE SERVIÇOS GERAIS;GESERV;true;420
NUGEP - NÚCLEO DE GESTÃO DE PESSOAL;Migração;false;421
NULIC - NÚCLEO DE LICITAÇÕES CONTRATOS E CONVENIOS;Migração;FALSE;422
OUVIDORIA;Migração;true;423
NUSER - NÚCLEO DE SERVIÇOS GERAIS;Migração;false;424
PROTOCOLO CODHAB/DF;PROTOCOLO;true;425
GECOM - GERÊNCIA DE COMPUTAÇÃO E COMUNICAÇÃO;Migração;false;430
DESABILITADO NUPRS - NÚCLEO DE PROCESSOS SISTEMAS;Migração;false;431
NUSOP - NÚCLEO DE SUPORTE E OPERAÇÃO;Migração;false;432
DESABILITADO NUDOC-NÚCLEO DOCUMENTAÇÃO COMUNICAÇÃO;Migração;false;433
DESABILITADO-NULOG;Migração;false;434
DESABILITADO-NULOG - NÚCLEO DE SERVIÇOS GERAIS;Migração;false;435
GEPES - GERÊNCIA DE PESSOAS;GEPES;true;440
DESABILITADO-NUSOP;Migração;false;442
DESABILITADO-NUDOC;Migração;false;443
NUINF - NÚCLEO DE INFORMÁTICA;Migração;false;444
DESABILITADO-NUFIN;Migração;false;462
NUEXC - NÚCLEO DE EXECUÇÃO;Migração;false;463
DESABILITADO-NUADE;Migração;false;472
NUTES - NÚCLEO DE TESOURARIA;Migração;false;473
DESABILITADA- DIFIN - DIRETORIA FINANCEIRA;Migração;false;500
DIFIN - DIRETORIA FINANCEIRA;DIFIN;true;501
DESABILITADA ASDIF-ASSESSORIA DIRETORIA FINANCEIRA;Migração;false;510
GEOFI - GERÊNCIA DE ORÇAMENTO E FINANÇAS;Migração;false;520
NUPRO - NÚCLEO DE PROGRAMAÇÃO;Migração;false;521
DESABILITADO NUFIN - NÚCLEO EXEC ORÇ FINANCEIRA;Migração;false;522
GECOT - GERÊNCIA DE CONTABILIDADE E CUSTOS;Migração;false;530
NUCOT - NÚCLEO DE CONTABILIDADE E CONTROLE;Migração;false;531
DESABILITADO NUADE-NÚCLEO DE ANÁLISE DE DESEMPENHO;Migração;false;532
GEFIN - GERÊNCIA DE FINANÇAS;GEFIN;true;540
GECRI - GERÊNCIA DE CRÉDITO IMOBILIARIO;GECRI;true;550
CEB - CENTRAIS ELÉTRICAS DE BRASÍLIA;Migração;false;591
GRUPAR;Migração;false;592
CAESB - COMPANHIA DE SANEAMENTO AMBIENTAL DO DF;Migração;false;593
ARQUIVO DA ÁREA;Migração;false;594
CPL - COMISSÃO PERMANENTE DE LICITAÇÃO;Migração;false;595
ADMINISTRAÇÃO REGIONAL BRASÍLIA;Migração;false;596
ADMINISTRAÇÃO REGIONAL GAMA;Migração;false;597
ADMINISTRAÇÃO REGIONAL TAGUATINGA;Migração;false;598
ADMINISTRAÇÃO REGIONAL SOBRADINHO;Migração;false;600
ADMINISTRAÇÃO REGIONAL PLANALTINA;Migração;false;601
ADMINISTRAÇÃO REGIONAL PARANOÁ;Migração;false;602
ADMINISTRAÇÃO REGIONAL NÚCLEO BANDEIRANTE;Migração;false;603
ADMINISTRAÇÃO REGIONAL CEILÂNDIA;Migração;false;604
ADMINISTRAÇÃO REGIONAL GUARÁ;Migração;false;605
ADMINISTRAÇÃO REGIONAL CRUZEIRO;Migração;false;606
RASCIA;Migração;false;607
SEAPA;Migração;false;608
SITTRATER-DF;Migração;false;609
SODF - SECRETARIA DE OBRAS DO DF;Migração;false;610
SEG - SECRETARIA DE ESTADO DE GOVERNO;Migração;false;611
DPDF - DEFENSORIA PÚBLICA DO DISTRITO FEDERAL;Migração;false;612
BSB SUSTENTÁVEL;Migração;false;613
COORDENADORIA DAS CIDADES;Migração;false;614
DESABILITADO SEHAB - PROTOCOLO;Migração;false;615
PROMAI;Migração;false;616
SLU - SERVIÇO DE LIMPEZA URBANA DF;Migração;false;617
ANEXADO AO PROCESSO ;Migração;false;618
GERENCIA DE PATRIMONIO DA UNIÃO;Migração;false;619
AGEFIS;Migração;false;620
IBRAM;Migração;false;621
NOVACAP;Migração;false;622
ARQUIVO CODHAB/DF;Migração;false;623
TCDF;Migração;false;624
DESABILITADO - SEOPS - ANTIGA CGDF ;Migração;false;625
CELIC - CENTRAL DE COMPRAS;Migração;false;626
ADMINISTRAÇÃO REGIONAL VARJÃO;Migração;false;627
SEF;Migração;false;628
GAG - GABINETE GOVERNADOR;Migração;false;629
CGDF;Migração;false;630
AGUARDANDO PROCESSO REQUISITADO ARQ.SIA PROTOCOLO;Migração;false;631
AGUARDANDO DOCUMENTO SIA;Migração;false;632
ADMINISTRAÇÃO REGIONAL ITAPOÃ;Migração;false;633
SUDESA;Migração;false;634
SEPLAG / SELIC;Migração;false;635
DESABILITADO - PROCESSOS COM RASURAS PROTOCOLO;Migração;false;636
DESABILITADA-DIAFI-DIR.ADMINISTRATIVO-FINANCEIRA;Migração;false;637
ADMINISTRAÇÃO REGIONAL SAMAMBAIA;Migração;false;638
CRAS RIACHO FUNDO I;Migração;false;639
ARQUIVO SIA/SEDHAB;Migração;false;640
ARQUIVO DOCUMENTOS GERADOS NO PROTOCOLO;Migração;false;641
SEDEST;Migração;false;642
COMISSÃO SOCORRO SOCIAL E EMERGENCIAL;Migração;false;643
AGBRA;Migração;false;644
DPDF PARANOÁ;Migração;false;645
DPDF TAGUATINGA;Migração;false;646
DPDF SOBRADINHO;Migração;false;647
FORUM PARANOÁ;Migração;false;648
FORUM TAGUATINGA;Migração;false;649
FORUM SOBRADINHO;Migração;false;650
FORUM STª MARIA;Migração;false;651
TJDFT;Migração;false;652
MPDFT;Migração;false;653
ADMINISTRAÇÃO REGIONAL SOBRADINHO II;Migração;false;654
SEG DODF-CENTRO ADM.;Migração;false;655
ADMINISTRAÇÃO REGIONAL SIA;Migração;false;656
IBAMA;Migração;false;657
GIDUR - CAIXA ECONÔMICA;Migração;false;658
DER/DF;Migração;false;659
SUSDEC;Migração;false;660
NA HORA TAGUATINGA;Migração;false;661
NA HORA CEILANDIA;Migração;false;662
CHEQUE MORADIA;Migração;false;663
SE - SECRETARIA EDUCAÇÃO;Migração;false;664
CANCELADA TRAMITAÇÃO;Migração;false;665
APENSADO AO PROCESSO;Migração;false;666
DESABILITADO AJL/SEHAB;Migração;false;667
METRO-DF;Migração;false;668
TOPOCART;Migração;false;669
DESABILITADO SUPOL/SEHAB;Migração;false;670
SEM SETOR;Migração;false;671
SETOR NÃO CADASTRADO;Migração;false;672
EMPRESA 3R;Migração;false;673
EMPRESA MEHTA;Migração;false;674
ADMINISTRAÇÃO REGIONAL RECANTO DAS EMAS;Migração;false;675
ADMINISTRAÇÃO REGIONAL CANDANGOLANDIA;Migração;false;676
CAIXA ECONOMICA;Migração;false;677
CLDF - CAMARA LEGISLATIVA;Migração;false;678
SEJUS;Migração;false;679
PROCAD;Migração;false;680
GVG - VICE GOVERNADORIA;Migração;false;681
EXTREMA;Migração;false;682
UAG CPAS;Migração;false;683
CODEPLAN;Migração;false;684
CEAJUR;Migração;false;685
DESABILITADA-DIAFI-MARCELO;Migração;false;686
PGDF;Migração;false;687
ANEXADO AO MEMORANDO;Migração;false;688
ADMINISTRAÇÃO REGIONAL RIACHO FUNDO II;Migração;false;689
ADMINISTRAÇÃO REGIONAL BRAZLANDIA;Migração;false;690
PMDF;Migração;false;691
CAMARA FEDERAL;Migração;false;692
ADASA;Migração;false;693
ANEXADO MEMORANDO;Migração;false;694
GT MANGUEIRAL RP 162/10/NUHAB;Migração;false;695
INCRA;Migração;false;696
TRIBUNAL JUSTIÇA RONDONIA;Migração;false;697
ADMINISTRAÇÃO REGIONAL ESTRUTURAL;Migração;false;698
SEPLAG PROTOCOLO;Migração;false;699
ASPLA - ASSESSORIA DE PLANEJAMENTO E COMUNICAÇÃO;ASPLA;false;700
SETOR EXTERNO;NULL;false;777
UNTEC - UNIDADE DE TECNOLOGIA DA INFORMAÇÃO;UNTEC;true;800
CPL - COMISSÃO PERMANENTE DE LICITAÇÃO;Migração;false;810
COMISSÃO DE PTTS;COMISSÃO DE PTTS;false;820
NUAR - NÚCLEO DE ATENDIMENTO A REGULARIZAÇÃO;NUAR;true;830
DIPRO - Diretoira de Produção Habitacional;DIPRO;false;840
ASMOB - ASSESSORIA DE MOBILIZAÇÃO SOCIAL;NULL;true;850
NUESCRI - NÚCLEO DE ESCRITURAÇÃO;NUESCRI;true;860
GEPLAN - GERENCIA DE PLANEJAMENTO HABITACIONAL;GEPHAB;true;870
GEMOB - GERENCIA DE MOBILIZACAO SOCIAL;GEMOB;false;880
VER MOVIMENTAÇAO SICOP;Migração;false;888
GEREG - GERENCIA DE REGULARIZAÇÃO;GEREG;false;890
VER MOVIMENTAÇÃO NO PROTOCOLO DA SEDHAB;Migração;false;999
DIREG - Dir. de Reg. de Interesse Social;DIREG;false;1004
DIPRO - Diretoira de Produção Habitacional;DIPRO;false;1005
NUATE/SEDE;NULL;false;1006
NUATE/Embaixador ;NULL;false;1008
PRESI;NULL;false;1009
CODHAB;NULL;false;1010
GEPHAB - GERENCIA DE PLANEJAMENTO HABITACIONAL;GEPHAB;false;1011
GEMOB - GERENCIA DE MOBILIZACAO SOCIAL;GEMOB;false;1012
GEREG - GERENCIA DE REGULARIZAÇÃO;GEREG;false;1013
DIREG - Atendimento Regularização;DIREG;false;1014
GEPRO - GERENCIA DE PROJETO;GEPRO;false;1015
ÓRGÃO EXTERNO;EXTERNO;false;1016
DEPÓSITO VILA PLANALTO;NULL;false;1017
DEPÓSITO/SIA;NULL;false;1018
JARDIM BOTÂNICO;NULL;false;1019
SOBRELOJA/SEDUMA;NULL;false;1020
ADMINISTRAÇÃO REGIONAL SANTA MARIA;NULL;false;1021
CONSELHO TUTELAR / CEILÂNDIA;NULL;false;1022
ADMINISTRAÇÃO / ESTRUTURAL;NULL;false;1023
ADMINISTRAÇÃO REGIONAL SÃO SEBASTIÃO;NULL;false;1024
PROFLORA;NULL;false;1025
TRÂMITE EXTERNO;NULL;true;1026
